a,b,length
3618194663,3618194670,11.532112455601155
9585201857,9585201860,44.17512951277792
9585187689,9585187700,35.437938487250335
9585201890,9585206850,28.195533496851947
3617812059,9585211897,6.680457387272808
3617839985,3617839988,65.84292875848861
3617839989,5803229522,49.51022771733506
3617840097,9585187266,5.149519175869632
3618194632,3618194635,12.331249516130733
3617840097,4200925340,69.55356658725711
5803229521,9585187285,44.160510263803715
9585187301,9585187306,5.931694051376785
9585201867,9585206858,43.112423721539535
9585201890,9585206823,7.988048641326627
9585201873,9585201880,45.156021008380826
9585187286,9585187287,16.14413973748025
9585187262,9585187626,19.6373816218997
3564680895,9585201858,44.866861748242926
9585201874,9585201880,138.5363195056849
9585187618,9585187619,20.31873276937434
180372551,4200925342,44.18761568132798
9585206827,9585206831,1.412177563363858
3564662160,3615837241,61.057458211001844
3618194663,5441879431,17.34637644497237
9585187262,9585187267,34.18612702195642
9585187271,9585206821,18.973083350640255
9585187314,9585187315,4.103979747291157
4200925340,4201206517,8.417094690380415
9585187647,9585201900,71.60961869905633
9585201874,9585206858,31.061448706225164
9585201880,9585206842,47.31943562203484
3617839923,9585169543,9.462701624573137
3618120757,9585187266,244.1679330656102
9585201911,9585201915,20.788464614896995
9585187301,9585187306,5.931694051376784
3564680490,9585187701,23.31092367949527
9585201898,9585201915,16.54477722237023
9585201898,9585201906,14.333412127208504
9585187665,9585187681,11.599216668195055
3617839910,3617839933,1.01187526207155
3564662171,9585169535,6.285195937699145
9585187644,9585187647,6.411507804865761
3617839988,5803229521,3.7934200196964176
9585201895,9585206823,27.557514172765437
180368249,3564662157,141.53710999830142
3618194676,5441715695,16.421670018430728
5803229528,9585169543,31.978560653843815
9585206842,9585206850,35.838858989051076
3618194670,3618194674,2.6024651993868773
9585211892,9585211893,183.2987848899382
3617839984,5803229527,7.208331485323451
9585187688,9585187700,3.9029567030507164
3618194675,3618194676,8.557665197690461
9585187258,9585206849,17.160967959166477
9585201867,9585201876,1.2742806101691209
9585201915,9585206821,47.82332263099359
9585187258,9585187262,109.1922564202628
3564680894,9585201856,73.44484368441603
9585187647,9585201900,71.60961869905634
3617839911,3617839922,17.765193623518577
3617839989,5441715695,67.69524323790814
5803229528,9585169543,31.97856065384381
9585201884,9585206835,16.60500646043097
9585187258,9585206851,37.89715995874235
9585187676,9585187679,23.51684853782448
9585187270,9585187272,17.634760255813827
3617812059,9585211897,6.680457387272809
4200925340,9585187269,10.094159570484539
3617812034,3617812037,7.1084427493334505
180371904,3617840097,64.59577896611377
5803229521,9585187285,44.16051026380372
9585187292,9585187295,6.08799844919716
3618194367,3618194367,124.8154095072159
9585187690,9585187701,16.046859024565507
9585187665,9585187681,11.599216668195057
9585187265,9585187620,11.832728820031262
3564680487,5803229521,34.227531592613076
9585201895,9585201898,23.694443276234576
9585187308,9585187628,33.13136770092431
3564680895,9585201858,44.86686174824293
9585201890,9585206850,28.19553349685195
3564662195,3615837241,31.357960007265497
5803229521,5803229522,33.66462616926287
9585201906,9585201915,25.39934765646219
9585187273,9585187679,14.286284640767724
9585201915,9585206821,47.82332263099358
3617812037,3617812042,6.133761237106428
180371904,3620257567,250.6494706738266
9585201880,9585206842,47.319435622034845
180368241,3617839980,16.53113718544397
9585187665,9585187675,12.504271343789046
9585206849,9585206850,72.50975990453043
9585187277,9585187278,25.43906392079223
9585187618,9585187626,50.848235309711036
9585201861,9585206858,5.571035961393954
9585201906,9585201915,25.399347656462187
3554595857,3615837264,9.24625862024366
9585187313,9585187314,4.336063980378177
3615837241,3615837242,26.555161540036536
9585187679,9585187681,5.648547621795828
9585201864,9585206858,0.7893544494906761
9585201898,9585206827,18.54737115830898
3618194367,3618194367,124.81540950721592
4200925342,9585187269,202.66542886683882
3618194675,3618194677,11.522955688522988
