id,lat,lon
180368241,-85.6642389,40.1111558
180368249,-85.665929,40.1099286
180371904,-85.6620505,40.1131556
180372551,-85.6666446,40.113197
180372570,-85.6578459,40.113157
3554595857,-85.6669096,40.1111729
3564662157,-85.6659244,40.1112014
3564662158,-85.6648241,40.1111241
3564662160,-85.6647279,40.1111884
3564662171,-85.6660546,40.1112028
3564662195,-85.6658145,40.1112002
3564680486,-85.6633306,40.111089
3564680487,-85.663332,40.1112152
3564680490,-85.6656372,40.111235
3564680894,-85.6669255,40.1112555
3564680895,-85.6669398,40.1112638
3564680910,-85.6669601,40.1110765
3564680911,-85.6669742,40.1110888
3615837241,-85.6654458,40.1111962
3615837242,-85.6654422,40.1109574
3615837264,-85.6668057,40.1111974
3615837267,-85.6664658,40.1102379
3617812034,-85.6657474,40.1113178
3617812037,-85.665746,40.1113808
3617812042,-85.6657743,40.1114122
3617812059,-85.6662533,40.1115772
3617839910,-85.6641699,40.1112234
3617839911,-85.664169,40.1114379
3617839912,-85.6644671,40.111438
3617839913,-85.6644114,40.1114376
3617839922,-85.6643779,40.1114374
3617839923,-85.6641699,40.1112698
3617839933,-85.6641699,40.1112325
3617839980,-85.6644329,40.1111652
3617839984,-85.663928,40.1111563
3617839985,-85.6639353,40.1113565
3617839988,-85.6633477,40.1115138
3617839989,-85.6623252,40.1114999
3617839990,-85.6623252,40.1111575
3617840097,-85.6628101,40.1131567
3618120757,-85.6599376,40.1130995
3618194366,-85.6620109,40.1111575
3618194367,-85.6620068,40.111428
3618194632,-85.6631993,40.1121581
3618194633,-85.6627273,40.1121556
3618194634,-85.6630462,40.1122031
3618194635,-85.6630543,40.1121572
3618194647,-85.66291,40.1112113
3618194663,-85.6624609,40.112162
3618194670,-85.6623253,40.1121631
3618194674,-85.6623259,40.1121865
3618194675,-85.662136,40.1121865
3618194676,-85.662132,40.1121096
3618194677,-85.6620005,40.1121865
3618194678,-85.6619952,40.1118921
3618194679,-85.6618637,40.1121865
3618194680,-85.6618599,40.1121147
3618194682,-85.6623239,40.1112156
3620257567,-85.6620345,40.1154096
4200925340,-85.663628,40.1131579
4200925341,-85.6661299,40.1132481
4200925342,-85.6661299,40.1131616
4201206517,-85.663633,40.1132335
5441715695,-85.6623251,40.1121086
5441724638,-85.6634078,40.1119755
5441879431,-85.6625983,40.1122557
5441879433,-85.6623838,40.1123463
5803229521,-85.6633031,40.1115132
5803229522,-85.6629073,40.1115078
5803229527,-85.6639304,40.1112211
5803229528,-85.6644247,40.1112259
8905351189,-85.6658921,40.1112011
9585169535,-85.6659807,40.111202
9585169543,-85.6641699,40.1113549
9585169544,-85.6619992,40.1121121
9585187258,-85.6649984,40.1130381
9585187262,-85.6637503,40.1130829
9585187265,-85.6628888,40.1131099
9585187266,-85.6628088,40.1131104
9585187267,-85.6638906,40.1128102
9585187269,-85.6637467,40.1131581
9585187270,-85.664124,40.1116943
9585187271,-85.6640911,40.1124735
9585187272,-85.6641169,40.1118528
9585187273,-85.6647709,40.1118598
9585187276,-85.6641057,40.1121006
9585187277,-85.6638847,40.1121533
9585187278,-85.6635856,40.1121571
9585187285,-85.6634098,40.1118681
9585187286,-85.6641116,40.1119703
9585187287,-85.6639218,40.1119733
9585187292,-85.663687,40.1122858
9585187295,-85.6637508,40.1122859
